"outlet_name","political_leaning","link","domain","domain_stripped","source","factuality","bias","qr_check"
"FrontPage Magazine","extreme right","https://www.frontpagemag.com/","www.frontpagemag.com","frontpagemag","MBFC","low","Questionable","questionable"
"Gatestone Institute","extreme right","https://www.gatestoneinstitute.org/","www.gatestoneinstitute.org","gatestoneinstitute","MBFC","mixed","Questionable","questionable"
"I Hate the Media","extreme right","https://www.ihatethemedia.com","www.ihatethemedia.com","ihatethemedia","MBFC","low","Questionable","questionable"
"Lew Rockwell","extreme right","https://www.lewrockwell.com/","www.lewrockwell.com","lewrockwell","MBFC","mixed","Questionable","questionable"
"Middle East Forum","extreme right","https://www.meforum.org","www.meforum.org","meforum","MBFC","low","Questionable","questionable"
"The Nationalist Review","extreme right","https://www.nationalistreview.net/","www.nationalistreview.net","nationalistreview","MBFC","low","Questionable","questionable"
"NRL News Today","extreme right","https://www.nationalrighttolifenews.org/","www.nationalrighttolifenews.org","nationalrighttolifenews","MBFC","low","Questionable","questionable"
"Natural News","extreme right","https://www.naturalnews.com/","www.naturalnews.com","naturalnews","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"NPR.News","extreme right","https://www.npr.news/","www.npr.news","npr","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"National Right to Life Committee","extreme right","https://www.nrlc.org/","www.nrlc.org","nrlc","MBFC","low","Questionable","questionable"
"Oath Keepers","extreme right","https://www.oathkeepers.org","www.oathkeepers.org","oathkeepers","MBFC","low","Questionable","questionable"
"Objectivist","extreme right","https://www.objectivist.co/","www.objectivist.co","objectivist","MBFC","mixed","Questionable","questionable"
"Patriot Report","extreme right","https://www.patriotreport.com/","www.patriotreport.com","patriotreport","MBFC","low","Questionable","questionable"
"Population Research Institute","extreme right","https://www.pop.org/","www.pop.org","pop","MBFC","low","Questionable","questionable"
"PragerU","extreme right","https://www.prageru.com","www.prageru.com","prageru","MBFC","low","Questionable","questionable"
"Reed Cooper News","extreme right","https://www.reedcooper.net","www.reedcooper.net","reedcooper","MBFC","low","Questionable","questionable"
"SupplementReference.com","extreme right","https://www.supplementreference.com/","www.supplementreference.com","supplementreference","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Tea Party Inc.","extreme right","https://www.teaparty.org/","www.teaparty.org","teaparty","MBFC","mixed","Questionable","questionable"
"American Society for the Defense of Tradition, Family, and Property","extreme right","https://www.tfp.org/","www.tfp.org","tfp","MBFC","low","Questionable","questionable"
"The Beltway Report","extreme right","https://www.thebeltwayreport.com/","www.thebeltwayreport.com","thebeltwayreport","MBFC","mixed","Questionable","questionable"
"The Freedom Times","extreme right","https://www.thefreedomtimes.com/","www.thefreedomtimes.com","thefreedomtimes","MBFC","low","Questionable","questionable"
"Witherspoon Institute","extreme right","https://www.thepublicdiscourse.com/","www.thepublicdiscourse.com","thepublicdiscourse","MBFC","low","Questionable","questionable"
"The Religion of Peace","extreme right","https://www.thereligionofpeace.com/","www.thereligionofpeace.com","thereligionofpeace","MBFC","low","Questionable","questionable"
"Top Topic","extreme right","https://www.toptopic.club","www.toptopic.club","toptopic","MBFC","low","Questionable","questionable"
"Truth Monitor","extreme right","https://www.truthmonitor.com/","www.truthmonitor.com","truthmonitor","MBFC","low","Questionable","questionable"
"Understanding the threat","extreme right","https://www.understandingthethreat.com/","www.understandingthethreat.com","understandingthethreat","MBFC","low","Questionable","questionable"
"UsLibertyWire.club","extreme right","https://www.uslibertywire.club","www.uslibertywire.club","uslibertywire","MBFC","very low","Questionable","questionable"
"WayneDupree.com","extreme right","https://www.waynedupree.com/","www.waynedupree.com","waynedupree","MBFC","low","Questionable","questionable"
"World Net Daily","extreme right","https://www.wnd.com/","www.wnd.com","wnd","MBFC","low","Questionable","questionable"
"Zerohedge","extreme right","https://www.zerohedge.com/","www.zerohedge.com","zerohedge","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Yes I’m Right","extreme right","https://yesimright.com/","yesimright.com","yesimright","MBFC","low","Questionable","questionable"
"Zenith News","extreme right","https://zenith.news/","zenith.news","zenith","MBFC","low","Questionable","questionable"
"Media Fact Watch","extreme right","mediafactwatch.com","mediafactwatch.com","mediafactwatch","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"MoonBattery","extreme right","moonbattery.com","moonbattery.com","moonbattery","MBFC","low","Questionable","questionable"
"America Daily","extreme right","https://americadaily.com/","americadaily.com","americadaily","MBFC","mixed","Questionable","questionable"
"National Alliance","extreme right","natall.com","natall.com","natall","MBFC","very low","Questionable","questionable"
"National File","extreme right","nationalfile.com","nationalfile.com","nationalfile","MBFC","low","Conspiracy-Pseudoscience","questionable"
"PC Must Die News","extreme right","pcmustdie.com","pcmustdie.com","pcmustdie","MBFC","low","Questionable","questionable"
"Pro Trump News","extreme right","protrumpnews.com/","protrumpnews.com","protrumpnews","MBFC","low","Questionable","questionable"
"QAnon.pub","extreme right","qanon.pub","qanon.pub","qanon","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Real Conservatives Unite","extreme right","realconservativesunite.com","realconservativesunite.com","realconservativesunite","MBFC","low","Questionable","questionable"
"Right Side News","extreme right","rightwingnews.com","rightwingnews.com","rightwingnews","MBFC","low","Questionable","questionable"
"The LA Post","extreme right","thelapost.com","thelapost.com","thelapost","MBFC","low","Questionable","questionable"
"The Liberty Daily","extreme right","thelibertydaily.com","thelibertydaily.com","thelibertydaily","MBFC","mixed","Questionable","questionable"
"The Washington Sentinel","extreme right","thewashingtonsentinel.com","thewashingtonsentinel.com","thewashingtonsentinel","MBFC","mixed","Questionable","questionable"
"Uncle Sam’s Misguided Children","extreme right","unclesamsmisguidedchildren.com","unclesamsmisguidedchildren.com","unclesamsmisguidedchildren","MBFC","low","Questionable","questionable"
"US Backlash","extreme right","usbacklash.org","usbacklash.org","usbacklash","MBFC","very low","Questionable","questionable"
"We The People Daily","extreme right","wethepeopledaily.com","wethepeopledaily.com","wethepeopledaily","MBFC","mixed","Questionable","questionable"
"Above Top Secret","extreme right","www.abovetopsecret.com","www.abovetopsecret.com","abovetopsecret","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Catholic Online","extreme right","www.catholic.org","www.catholic.org","catholic","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"From the Trenches World Report","extreme right","www.fromthetrenchesworldreport.com","www.fromthetrenchesworldreport.com","fromthetrenchesworldreport","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Illegal Alien Crime Report","extreme right","www.illegalaliencrimereport.com","www.illegalaliencrimereport.com","illegalaliencrimereport","MBFC","mixed","Questionable","questionable"
"New Nation News","extreme right","www.newnation.org/","www.newnation.org","newnation","MBFC","very low","Questionable","questionable"
"News Target","extreme right","www.newstarget.com","www.newstarget.com","newstarget","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Now The End Begins","extreme right","www.nowtheendbegins.com","www.nowtheendbegins.com","nowtheendbegins","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Rense","extreme right","www.rense.com","www.rense.com","rense","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Stormfront","extreme right","www.stormfront.org","www.stormfront.org","stormfront","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"TruNews","extreme right","www.trunews.com","www.trunews.com","trunews","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Departed","extreme right","http://trumpers.online/","trumpers.online","trumpers","MBFC","very low","Questionable","questionable"
"Ending the Fed News","extreme right","http://endingthefed.com/","endingthefed.com","endingthefed","MBFC","low","Questionable","questionable"
"The Truth Division","extreme right","http://thetruthdivision.com/","thetruthdivision.com","thetruthdivision","MBFC","low","Questionable","questionable"
"TruthFeed","extreme right","http://truthfeednews.com","truthfeednews.com","truthfeednews","MBFC","low","Questionable","questionable"
"Deep Left Field","extreme left","http://deepleftfield.info/","deepleftfield.info","deepleftfield","MBFC","mixed","Questionable","questionable"
"Left Action","extreme left","http://leftaction.com/","leftaction.com","leftaction","MBFC","low","Questionable","questionable"
"London Web News","extreme left","http://londonwebnews.com/","londonwebnews.com","londonwebnews","MBFC","low","Questionable","questionable"
"The Other 98%","extreme left","http://other98.com/","other98.com","other98","MBFC","low","Questionable","questionable"
"Polipace","extreme left","http://polipace.com/","polipace.com","polipace","MBFC","mixed","Questionable","questionable"
"The Proud Liberal","extreme left","http://theproudliberal.org/","theproudliberal.org","theproudliberal","MBFC","mixed","Questionable","questionable"
"US National News","extreme left","http://usnationalnews.org","usnationalnews.org","usnationalnews","MBFC","mixed","Questionable","questionable"
"Bipartisan Report","extreme left","http://www.bipartisanreport.com/","www.bipartisanreport.com","bipartisanreport","MBFC","mixed","Questionable","questionable"
"DC Blue Dot","extreme left","http://www.dcbluedot.com","www.dcbluedot.com","dcbluedot","MBFC","mixed","Questionable","questionable"
"Korean Central News","extreme left","http://www.kcna.kp/","www.kcna.kp","kcna","MBFC","very low","Questionable","questionable"
"LoonWatch","extreme left","http://www.loonwatch.com/","www.loonwatch.com","loonwatch","MBFC","low","Questionable","questionable"
"Rodong Sinmun (North Korea)","extreme left","http://www.rodong.rep.kp/en","www.rodong.rep.kp","rodong","MBFC","very low","Questionable","questionable"
"True Activist","extreme left","http://www.trueactivist.com/","www.trueactivist.com","trueactivist","MBFC","low","Questionable","questionable"
"Bossip","extreme left","https://bossip.com/","bossip.com","bossip","MBFC","mixed","Questionable","questionable"
"Hawar News Agancy","extreme left","https://en.hawarnews.org/","en.hawarnews.org","hawarnews","MBFC","low","Questionable","questionable"
"Middle American Democrat","extreme left","https://middleamericandemocrat.com","middleamericandemocrat.com","middleamericandemocrat","MBFC","mixed","Questionable","questionable"
"Political State","extreme left","https://politicalstate.org/","politicalstate.org","politicalstate","MBFC","mixed","Questionable","questionable"
"Woke Sloth","extreme left","https://wokesloth.com","wokesloth.com","wokesloth","MBFC","mixed","Questionable","questionable"
"Blue Dot Daily","extreme left","https://www.bluedotdaily.com","www.bluedotdaily.com","bluedotdaily","MBFC","mixed","Questionable","questionable"
"Femalista","extreme left","https://www.femalista.com/","www.femalista.com","femalista","MBFC","mixed","Questionable","questionable"
"Gucmakale.com","extreme left","https://www.gucmakale.com/","www.gucmakale.com","gucmakale","MBFC","mixed","Questionable","questionable"
"Lancaster Courier","extreme left","https://www.lancastercourier.com/","www.lancastercourier.com","lancastercourier","MBFC","mixed","Questionable","questionable"
"Occupy Democrats","extreme left","occupydemocrats.com","occupydemocrats.com","occupydemocrats","MBFC","low","Questionable","questionable"
"Political Flare","extreme left","politicalflare.com","politicalflare.com","politicalflare","MBFC","low","Questionable","questionable"
"TPL News","extreme left","tplnews.com","tplnews.com","tplnews","MBFC","mixed","Questionable","questionable"
"Activist Post","extreme left","www.activistpost.com","www.activistpost.com","activistpost","MBFC","low","Conspiracy-Pseudoscience","questionable"
"US Uncut","extreme left","http://usuncut.com/","usuncut.com","usuncut","MBFC","mixed","Left Bias","reliable"
"Anti-War","Right-Center","http://antiwar.com/","antiwar.com","antiwar","MBFC","mostly factual","Right-Center Bias","reliable"
"Billings Gazette","Right-Center","http://billingsgazette.com","billingsgazette.com","billingsgazette","MBFC","high","Right-Center Bias","reliable"
"Breaking Defense","Right-Center","http://breakingdefense.com/","breakingdefense.com","breakingdefense","MBFC","high","Right-Center Bias","reliable"
"Calgary Herald","Right-Center","http://calgaryherald.com/","calgaryherald.com","calgaryherald","MBFC","high","Right-Center Bias","reliable"
"Campaign for Liberty","Right-Center","http://campaignforliberty.org/","campaignforliberty.org","campaignforliberty","MBFC","mixed","Right-Center Bias","reliable"
"Center for the National Interest","Right-Center","http://cftni.org/","cftni.org","cftni","MBFC","high","Right-Center Bias","reliable"
"The Augusta Chronicle","Right-Center","http://chronicle.augusta.com/","chronicle.augusta.com","augusta","MBFC","high","Right-Center Bias","reliable"
"Edmonton Journal","Right-Center","http://edmontonjournal.com/","edmontonjournal.com","edmontonjournal","MBFC","high","Right-Center Bias","reliable"
"Ahram Online","Right-Center","http://english.ahram.org.eg/","english.ahram.org.eg","ahram","MBFC","mixed","Right-Center Bias","reliable"
"Fortune Magazine","Right-Center","http://fortune.com/","fortune.com","fortune","MBFC","high","Right-Center Bias","reliable"
"Franklin Center for Government and Public Integrity","Right-Center","http://franklincenterhq.org/","franklincenterhq.org","franklincenterhq","MBFC","mixed","Right-Center Bias","reliable"
"Colorado Springs Gazette","Right-Center","http://gazette.com/","gazette.com","gazette","MBFC","high","Right-Center Bias","reliable"
"Honest Reporting","Right-Center","http://honestreporting.com/","honestreporting.com","honestreporting","MBFC","mostly factual","Right-Center Bias","reliable"
"Human Progress","Right-Center","http://humanprogress.org/","humanprogress.org","humanprogress","MBFC","mostly factual","Right-Center Bias","reliable"
"India Today","Right-Center","http://indiatoday.intoday.in/","indiatoday.intoday.in","intoday","MBFC","mixed","Right-Center Bias","reliable"
"Jewish Breaking News","Right-Center","http://jewishbreakingnews.com","jewishbreakingnews.com","jewishbreakingnews","MBFC","mixed","Right-Center Bias","reliable"
"KUTV Salt Lake City","Right-Center","http://kutv.com/","kutv.com","kutv","MBFC","high","Right-Center Bias","reliable"
"Lexington Institute","Right-Center","http://lexingtoninstitute.org/","lexingtoninstitute.org","lexingtoninstitute","MBFC","high","Right-Center Bias","reliable"
"ListVerse","Right-Center","http://listverse.com/","listverse.com","listverse","MBFC","mostly factual","Right-Center Bias","reliable"
"Montreal Gazette","Right-Center","http://montrealgazette.com/","montrealgazette.com","montrealgazette","MBFC","high","Right-Center Bias","reliable"
"MyNorthwest","Right-Center","http://mynorthwest.com","mynorthwest.com","mynorthwest","MBFC","high","Right-Center Bias","reliable"
"The Nation Pakistan","Right-Center","http://nation.com.pk/","nation.com.pk","nation","MBFC","high","Right-Center Bias","reliable"
"National Interest","Right-Center","http://nationalinterest.org/","nationalinterest.org","nationalinterest","MBFC","high","Right-Center Bias","reliable"
"News Heist","extreme right","http://newsheist.com/","newsheist.com","newsheist","MBFC","low","Questionable","questionable"
"News Rescue","Right-Center","http://newsrescue.com/","newsrescue.com","newsrescue","MBFC","mixed","Questionable","questionable"
"New York Post","Right-Center","http://nypost.com/","nypost.com","nypost","MBFC","mixed","Right-Center Bias","reliable"
"New York Observer","Right-Center","http://observer.com/","observer.com","observer","MBFC","mixed","Right-Center Bias","reliable"
"Ottawa Citizen","Right-Center","http://ottawacitizen.com/","ottawacitizen.com","ottawacitizen","MBFC","high","Right-Center Bias","reliable"
"Reason","Right-Center","http://reason.com/","reason.com","reason","MBFC","high","Right-Center Bias","reliable"
"Savannah Morning News","Right-Center","http://savannahnow.com/","savannahnow.com","savannahnow","MBFC","high","Right-Center Bias","reliable"
"Tax Foundation","Right-Center","http://taxfoundation.org/","taxfoundation.org","taxfoundation","MBFC","high","Right-Center Bias","reliable"
"The Japan News","Right-Center","http://the-japan-news.com/","the-japan-news.com","the-japan-news","MBFC","high","Right-Center Bias","reliable"
"The Chronicle Herald","Right-Center","http://thechronicleherald.ca/","thechronicleherald.ca","thechronicleherald","MBFC","mixed","Right-Center Bias","reliable"
"The Libertarian Republic","Right-Center","http://thelibertarianrepublic.com/","thelibertarianrepublic.com","thelibertarianrepublic","MBFC","mostly factual","Right-Center Bias","reliable"
"Saskatoon StarPhoenix","Right-Center","http://thestarphoenix.com/","thestarphoenix.com","thestarphoenix","MBFC","high","Right-Center Bias","reliable"
"The Times of India","Right-Center","http://timesofindia.indiatimes.com/","timesofindia.indiatimes.com","indiatimes","MBFC","mixed","Right-Center Bias","reliable"
"Pittsburgh Tribune Review","Right-Center","http://triblive.com/","triblive.com","triblive","MBFC","high","Right-Center Bias","reliable"
"Vancouver Sun","Right-Center","http://vancouversun.com/","vancouversun.com","vancouversun","MBFC","high","Right-Center Bias","reliable"
"Watchdog.org","Right-Center","http://watchdog.org/","watchdog.org","watchdog","MBFC","mostly factual","Right-Center Bias","reliable"
"Windsor Star","Right-Center","http://windsorstar.com/","windsorstar.com","windsorstar","MBFC","high","Right-Center Bias","reliable"
"9 News (Australia)","Right-Center","http://www.9news.com.au/","www.9news.com.au","9news","MBFC","high","Right-Center Bias","reliable"
"American Firearms Institute","Right-Center","http://www.americanfirearms.org","www.americanfirearms.org","americanfirearms","MBFC","high","Right-Center Bias","reliable"
"Americas Quarterly","Right-Center","http://www.americasquarterly.org/","www.americasquarterly.org","americasquarterly","MBFC","high","Right-Center Bias","reliable"
"Arkansas Democrat-Gazette","Right-Center","http://www.arkansasonline.com/","www.arkansasonline.com","arkansasonline","MBFC","high","Right-Center Bias","reliable"
"Atlantic Council","Right-Center","http://www.atlanticcouncil.org/","www.atlanticcouncil.org","atlanticcouncil","MBFC","high","Right-Center Bias","reliable"
"Boston Herald","Right-Center","http://www.bostonherald.com/","www.bostonherald.com","bostonherald","MBFC","high","Right-Center Bias","reliable"
"California Political Review","Right-Center","http://www.capoliticalreview.com/","www.capoliticalreview.com","capoliticalreview","MBFC","mostly factual","Right-Center Bias","reliable"
"Chicago Tribune","Right-Center","http://www.chicagotribune.com/","www.chicagotribune.com","chicagotribune","MBFC","high","Right-Center Bias","reliable"
"Christianity Today","Right-Center","http://www.christianitytoday.com/","www.christianitytoday.com","christianitytoday","MBFC","high","Right-Center Bias","reliable"
"Canadian Jewish News","Right-Center","http://www.cjnews.com/","www.cjnews.com","cjnews","MBFC","high","Right-Center Bias","reliable"
"Topeka Capital-Journal","Right-Center","http://www.cjonline.com/","www.cjonline.com","cjonline","MBFC","high","Right-Center Bias","reliable"
"Columbia Daily Herald","Right-Center","http://www.columbiadailyherald.com/","www.columbiadailyherald.com","columbiadailyherald","MBFC","high","Right-Center Bias","reliable"
"Daily Herald","Right-Center","http://www.dailyherald.com/","www.dailyherald.com","dailyherald","MBFC","high","Right-Center Bias","reliable"
"Los Angeles Daily News","Right-Center","http://www.dailynews.com/","www.dailynews.com","dailynews","MBFC","high","Right-Center Bias","reliable"
"Daily Press","Right-Center","http://www.dailypress.com/","www.dailypress.com","dailypress","MBFC","high","Right-Center Bias","reliable"
"Dallas Morning News","Right-Center","http://www.dallasnews.com/","www.dallasnews.com","dallasnews","MBFC","high","Right-Center Bias","reliable"
"The Daily Citizen","Right-Center","http://www.daltondailycitizen.com/","www.daltondailycitizen.com","daltondailycitizen","MBFC","high","Right-Center Bias","reliable"
"Deseret News","Right-Center","http://www.deseretnews.com/","www.deseretnews.com","deseretnews","MBFC","high","Right-Center Bias","reliable"
"Desert Sun","Right-Center","http://www.desertsun.com/","www.desertsun.com","desertsun","MBFC","high","Right-Center Bias","reliable"
"Columbus Dispatch","Left-Center","http://www.dispatch.com/","www.dispatch.com","dispatch","MBFC","high","Left-Center Bias","reliable"
"Drudge Report","Right-Center","http://www.drudgereport.com/","www.drudgereport.com","drudgereport","MBFC","mixed","Right-Center Bias","reliable"
"Edmonton Sun","Right-Center","http://www.edmontonsun.com/","www.edmontonsun.com","edmontonsun","MBFC","high","Right-Center Bias","reliable"
"Faith Family America","Right-Center","http://www.faithfamilyamerica.com","www.faithfamilyamerica.com","faithfamilyamerica","MBFC","high","Right-Center Bias","reliable"
"Financial Express","Right-Center","http://www.financialexpress.com/","www.financialexpress.com","financialexpress","MBFC","mixed","Right-Center Bias","reliable"
"Financial Post","Right-Center","http://www.financialpost.com/","www.financialpost.com","financialpost","MBFC","mostly factual","Right-Center Bias","reliable"
"First Post","Right-Center","http://www.firstpost.com/","www.firstpost.com","firstpost","MBFC","mostly factual","Right-Center Bias","reliable"
"Forbes","Right-Center","http://www.forbes.com/","www.forbes.com","forbes","MBFC","mostly factual","Right-Center Bias","reliable"
"Foreign Policy Initiative","Right-Center","http://www.foreignpolicyi.org/","www.foreignpolicyi.org","foreignpolicyi","MBFC","mixed","Questionable","questionable"
"Foreign Policy Research Institute","Right-Center","http://www.fpri.org/","www.fpri.org","fpri","MBFC","mostly factual","Right-Center Bias","reliable"
"High Point Enterprise","Right-Center","http://www.hpenews.com/","www.hpenews.com","hpenews","MBFC","high","Right-Center Bias","reliable"
"Irish Independent","Right-Center","http://www.independent.ie/","www.independent.ie","independent","MBFC","mostly factual","Right-Center Bias","reliable"
"InsideSources","Right-Center","http://www.insidesources.com","www.insidesources.com","insidesources","MBFC","mostly factual","Right-Center Bias","reliable"
"Arutz Sheva (Israel National News)","Right-Center","http://www.israelnationalnews.com/","www.israelnationalnews.com","israelnationalnews","MBFC","high","Right-Center Bias","reliable"
"ITV News","Right-Center","http://www.itv.com/news/","www.itv.com","itv","MBFC","high","Right-Center Bias","reliable"
"The Jewish Press","Right-Center","http://www.jewishpress.com/","www.jewishpress.com","jewishpress","MBFC","high","Right-Center Bias","reliable"
"Just Facts","Right-Center","http://www.justfacts.com/","www.justfacts.com","justfacts","MBFC","mostly factual","Right-Center Bias","reliable"
"Just Facts Daily","Right-Center","http://www.justfactsdaily.com/","www.justfactsdaily.com","justfactsdaily","MBFC","mixed","Right-Center Bias","reliable"
"Wichita Eagle","Right-Center","http://www.kansas.com/","www.kansas.com","kansas","MBFC","high","Right-Center Bias","reliable"
"London Broadcasting Company (LBC)","Right-Center","http://www.lbc.co.uk","www.lbc.co.uk","lbc","MBFC","mixed","Right-Center Bias","reliable"
"Learn Liberty","Right-Center","http://www.learnliberty.org/","www.learnliberty.org","learnliberty","MBFC","high","Right-Center Bias","reliable"
"London Free Press","Right-Center","http://www.lfpress.com/","www.lfpress.com","lfpress","MBFC","mostly factual","Right-Center Bias","reliable"
"Mackinac Center for Public Policy","Right-Center","http://www.mackinac.org/","www.mackinac.org","mackinac","MBFC","mostly factual","Right-Center Bias","reliable"
"MarketWatch","Right-Center","http://www.marketwatch.com/","www.marketwatch.com","marketwatch","MBFC","high","Right-Center Bias","reliable"
"News-Gazette","Right-Center","http://www.news-gazette.com/","www.news-gazette.com","news-gazette","MBFC","high","Right-Center Bias","reliable"
"News.com.au","Right-Center","http://www.news.com.au/","www.news.com.au","news","MBFC","mostly factual","Right-Center Bias","reliable"
"NTD.TV (New Tang Dynasty)","Right","http://www.ntd.tv/","www.ntd.tv","ntd","MBFC","mixed","Questionable","questionable"
"The Oklahoman","Right-Center","http://www.oklahoman.com/live","www.oklahoman.com","oklahoman","MBFC","high","Right-Center Bias","reliable"
"Oregonian","Right-Center","http://www.oregonlive.com/#/0","www.oregonlive.com","oregonlive","MBFC","high","Right-Center Bias","reliable"
"Pacific Research Institute","Right-Center","http://www.pacificresearch.org/home/","www.pacificresearch.org","pacificresearch","MBFC","mostly factual","Right-Center Bias","reliable"
"The Press-Enterprise","Right-Center","http://www.pe.com/","www.pe.com","pe","MBFC","high","Right-Center Bias","reliable"
"Peninsula Daily News","Right-Center","http://www.peninsuladailynews.com/","www.peninsuladailynews.com","peninsuladailynews","MBFC","high","Right-Center Bias","reliable"
"Pittsburgh Post-Gazette","Right-Center","http://www.post-gazette.com/","www.post-gazette.com","post-gazette","MBFC","high","Right-Center Bias","reliable"
"Post-Bulletin","Right-Center","http://www.postbulletin.com/","www.postbulletin.com","postbulletin","MBFC","high","Right-Center Bias","reliable"
"Rasmussen Reports","Right-Center","http://www.rasmussenreports.com/","www.rasmussenreports.com","rasmussenreports","MBFC","high","Right-Center Bias","reliable"
"Real Clear Defense","Right-Center","http://www.realcleardefense.com/","www.realcleardefense.com","realcleardefense","MBFC","mostly factual","Right-Center Bias","reliable"
"Real Clear Investigations","Right-Center","http://www.realclearinvestigations.com/","www.realclearinvestigations.com","realclearinvestigations","MBFC","mostly factual","Right-Center Bias","reliable"
"Real Clear Policy","Right-Center","http://www.realclearpolicy.com/","www.realclearpolicy.com","realclearpolicy","MBFC","mostly factual","Right-Center Bias","reliable"
"Real Clear Politics","Right-Center","http://www.realclearpolitics.com/","www.realclearpolitics.com","realclearpolitics","MBFC","mostly factual","Right-Center Bias","reliable"
"Waterbury Republican-American","Right-Center","http://www.rep-am.com/","www.rep-am.com","rep-am","MBFC","high","Right-Center Bias","reliable"
"Republic World","Right-Center","http://www.republicworld.com/","www.republicworld.com","republicworld","MBFC","mixed","Questionable","questionable"
"Las Vegas Review Journal","Right-Center","http://www.reviewjournal.com/","www.reviewjournal.com","reviewjournal","MBFC","high","Right-Center Bias","reliable"
"R Street Institute","Right-Center","http://www.rstreet.org/","www.rstreet.org","rstreet","MBFC","high","Right-Center Bias","reliable"
"London Evening Standard","Right-Center","http://www.standard.co.uk/","www.standard.co.uk","standard","MBFC","high","Right-Center Bias","reliable"
"Fort Worth Star-Telegram","Right-Center","http://www.star-telegram.com/","www.star-telegram.com","star-telegram","MBFC","high","Right-Center Bias","reliable"
"The Straits Times","Right-Center","http://www.straitstimes.com/global","www.straitstimes.com","straitstimes","MBFC","mostly factual","Right-Center Bias","reliable"
"Williamsport Sun-Gazette","Right-Center","http://www.sungazette.com/","www.sungazette.com","sungazette","MBFC","high","Right-Center Bias","reliable"
"Canadian Taxpayers Federation","Right-Center","http://www.taxpayer.com/","www.taxpayer.com","taxpayer","MBFC","high","Right-Center Bias","reliable"
"Tharawat Magazine","Right-Center","http://www.tharawat-magazine.com/#gs.a9CcWpc","www.tharawat-magazine.com","tharawat-magazine","MBFC","high","Right-Center Bias","reliable"
"The American Interest","Right-Center","http://www.the-american-interest.com/","www.the-american-interest.com","the-american-interest","MBFC","high","Right-Center Bias","reliable"
"The American Conservative","Right-Center","http://www.theamericanconservative.com/","www.theamericanconservative.com","theamericanconservative","MBFC","mostly factual","Right-Center Bias","reliable"
"The Australian","Right-Center","http://www.theaustralian.com.au/","www.theaustralian.com.au","theaustralian","MBFC","mixed","Right-Center Bias","reliable"
"The Fiscal Times","Right-Center","http://www.thefiscaltimes.com/","www.thefiscaltimes.com","thefiscaltimes","MBFC","high","Right-Center Bias","reliable"
"The Gazette (Cedar Rapids)","Right-Center","http://www.thegazette.com/","www.thegazette.com","thegazette","MBFC","high","Right-Center Bias","reliable"
"The Globe and Mail (Toronto)","Right-Center","http://www.theglobeandmail.com/","www.theglobeandmail.com","theglobeandmail","MBFC","high","Right-Center Bias","reliable"
"Hindu Business Line","Right-Center","http://www.thehindubusinessline.com/","www.thehindubusinessline.com","thehindubusinessline","MBFC","mixed","Right-Center Bias","reliable"
"The New Atlantis","Right-Center","http://www.thenewatlantis.com/","www.thenewatlantis.com","thenewatlantis","MBFC","high","Right-Center Bias","reliable"
"The Smoking Gun","Right-Center","http://www.thesmokinggun.com/","www.thesmokinggun.com","thesmokinggun","MBFC","high","Least Biased","reliable"
"Toledo Blade","Right-Center","http://www.toledoblade.com/","www.toledoblade.com","toledoblade","MBFC","high","Right-Center Bias","reliable"
"Red River Valley News","Right-Center","http://www.valleynewslive.com/","www.valleynewslive.com","valleynewslive","MBFC","high","Least Biased","reliable"
"ValueWalk","Right-Center","http://www.valuewalk.com/","www.valuewalk.com","valuewalk","MBFC","high","Right-Center Bias","reliable"
"71 Republic","Right-Center","https://71republic.com/","71republic.com","71republic","MBFC","high","Right-Center Bias","reliable"
"7NEWS","Right-Center","https://7news.com.au/","7news.com.au","7news","MBFC","mixed","Right-Center Bias","reliable"
"Aleteia","Right-Center","https://aleteia.org","aleteia.org","aleteia","MBFC","mixed","Right-Center Bias","reliable"
"American Affairs Journal","Right-Center","https://americanaffairsjournal.org","americanaffairsjournal.org","americanaffairsjournal","MBFC","high","Right-Center Bias","reliable"
"Being Libertarian","Right-Center","https://beinglibertarian.com/","beinglibertarian.com","beinglibertarian","MBFC","mostly factual","Right-Center Bias","reliable"
"Bipartisan Policy Center","Right-Center","https://bipartisanpolicy.org","bipartisanpolicy.org","bipartisanpolicy","MBFC","mostly factual","Right-Center Bias","reliable"
"California Globe","Right-Center","https://californiaglobe.com/","californiaglobe.com","californiaglobe","MBFC","mixed","Right-Center Bias","reliable"
"Check Your Fact","Right-Center","https://checkyourfact.com/","checkyourfact.com","checkyourfact","MBFC","high","Right-Center Bias","reliable"
